时间,市场规模
2023-12-31,41271.3957717
2022-12-31,38028.3387518
2021-12-31,33953.4906921
2020-12-31,32880.4979266
2019-12-31,33977.233290000004
2018-12-31,31522.5471992
2017-12-31,26797.048239000003
2016-12-31,26546.09538
2015-12-31,23544.871508800003
2014-12-31,20212.886581
