,year,研发支出：占国内生产总值百分比,专利申请：居民,化学药品制剂制造:亏损企业数,化学药品制剂制造:企业数,化学药品制剂制造:资产合计,化学药品制剂制造:应收账款,化学药品制剂制造:营业收入:累计,化学药品制剂制造:利润总额:累计,化学药品制剂制造:工业销售产值:出口交货值:累计,床位数:医院:综合,床位数:医院:中医,床位数:医院:专科,床位数:卫生院,卫生总费用:政府预算支出,床位数:医院:综合.1,根据PCT提交的专利申请数量：Priority Year,卫生总费用,研发人员：每百万人,在校生数:高等:普通本专科,床位数:医院,执业医师,执业(助理)医师,在校生数:高等:研究生,学成回国留学生数,全国社保基金:基本医疗保险:城镇:支出,专利申请：居民.1,研究与试验发展经费支出:工业企业,研究与试验发展经费支出:企业:工业企业,研究与试验发展人员:企业:大中型工业企业,研究与试验发展经费支出:企业:工业企业:大中型,卫生总费用:居民个人现金支出,科学和技术期刊文章,卫生总费用:社会支出,医药制造业:资产合计,医药制造业:流动资产,医药制造业:应收账款,医药制造业:负债合计,医药制造业:营业收入:累计,医药制造业:营业成本:累计,医药制造业:营业费用:累计,医药制造业:管理费用:累计,医药制造业:财务费用:累计,医药制造业:利润总额:累计,医药制造业:亏损额:累计,医药制造业:资产负债率,医药制造业:累计同比:资产合计,医药制造业:累计同比:流动资产,医药制造业:累计同比:应收账款,医药制造业:累计同比:负债合计,医药制造业:累计同比:营业收入,医药制造业:累计同比:营业成本,医药制造业:累计同比:营业费用,医药制造业:累计同比:管理费用,医药制造业:累计同比:财务费用,医药制造业:累计同比:利润总额,医药制造业:累计同比:亏损额,医药制造业:企业数
0,2014,-1.3284920505511302,-2.218306780244067,0.11407444091306564,0.58489147221603,-0.4851642003637873,-0.43677261096423037,-0.16051541140965697,-0.5187589740388248,-1.1520398135658698,-1.8499763524801187,-1.6017808098141697,-1.5008335777771553,-1.551063729955908,-1.5689935074530996,-1.8499763524801187,-1.859312729602046,-1.5601881953037708,-1.4017573486453243,-1.242334602536893,-1.6536400371453834,-1.5242538726455432,-1.43215834550686,-1.386357179700174,-1.3800585247692636,-1.4773718043428126,-2.218306780244067,-1.365326818587585,-1.365326818587585,-0.510291147268207,-1.3326247590307692,-1.4795776482729914,-1.4649994073449584,-1.5810845189687843,-1.4969302470667898,-1.4122058253693237,-1.5218083579554724,-1.4704445090559999,-1.5667046366563449,-0.06764601440607264,-1.7083731925120307,-2.05746696344272,0.38865212456687104,-1.2172335167728678,-0.8992952433605382,2.078903880260776,1.4469590368364946,0.6346647286208836,0.86258801545989,2.2240197823481136,0.4873299144148914,1.0511197912113188,0.1989576505497896,0.45654346650236466,0.9311342524528129,0.03853850022763512,-0.3032013216199152,-1.1430013976291864
1,2015,-1.1159255279473141,-1.3891221108236091,-0.049054323475801194,0.31450772300669116,-0.18418839123762035,-0.13312298701790398,0.05125487482561632,-0.279585085402283,-0.8852040555718199,-1.347367392347201,-1.2472213552948013,-1.228112012691265,-1.2851396744631998,-1.152891393745298,-1.347367392347201,-1.3812043651728418,-1.2290037123773998,-1.1305058529012582,-1.0536176735639358,-1.2738332805203363,-1.2444328574507417,-1.1893972481582764,-1.2934357802396481,-1.107977560606921,-1.299332800197571,-1.3891221108236091,-1.1497735547060879,-1.1497735547060879,-0.7138575459581238,-1.1147216758843228,-1.311665904059323,-1.2833272648634257,-1.218465765770956,-1.1665383092930695,-1.164237620341883,-1.217345137517016,-1.1848470918360021,-0.5926682267520559,0.654345052885987,-1.4266813961931084,-1.0291002260115305,0.6112938678725839,-0.9253598966484261,-0.8291619175473793,0.92655181898286,0.8969484079420648,0.14021361482681233,0.4975465687793105,0.01568080528008508,0.0374429507175572,0.07680126219118448,-0.10553714799774758,0.6398947119122372,0.4970602594075269,0.009407853191295217,-0.12172998102165425,-0.7785959228574207
2,2016,-0.8496323557233083,-0.21454347664973383,0.2598490814307764,0.6320486729983774,0.1667691439034594,0.09503168877879484,0.3120797403415711,0.08651863979587483,-0.1353320618237977,-0.8772432573221901,-0.9209911927476283,-0.9362522793512383,-1.029419028378876,-0.8379636014432597,-0.8772432573221901,-0.7389158618172594,-0.9148981624001288,-0.9263634512705705,-0.8820474326162857,-0.9054633215713618,-0.944700239051713,-0.9379384960740753,-1.1918693087261065,-0.9642598504173314,-1.0795281692679906,-0.21454347664973383,-0.8856854555973495,-0.8856854555973495,-0.7987143004876752,-0.8856302671973518,-0.9876986721851693,-1.0168339176450891,-0.9124425940435924,-0.7866583599782455,-0.8683831594823127,-0.9200100000927706,-0.8527509572285754,0.5025628272262311,1.4270761183170864,-1.013659359892363,-0.002676847873462449,0.5931069392913503,-0.5764968129692334,-0.7826544153432019,-0.05402234260293684,0.7216499064149297,0.25041536764071454,-0.36897916034534106,0.1406351651371002,0.06422658026202155,0.048323593326315716,0.07249894417453015,0.340586625195206,0.3348154558575985,0.041074846424132436,-0.2151536668740417,-0.5874113603891352
3,2017,-0.7531237735592827,-0.012463297995519129,-0.22953721173582406,0.6519542250874085,0.5650103545447218,0.4327224579774672,0.6904344171505544,0.757268470963055,0.5129121065424467,-0.32148020368123953,-0.5236985563735301,-0.5770479602665411,-0.4015133690731893,-0.5536424795500595,-0.32148020368123953,-0.30200822274407707,-0.5491373162384534,-0.8060157381697306,-0.7416140537075561,-0.4617178336019289,-0.572416773352813,-0.6083962298689887,-0.23153422140638114,-0.6669975780593771,-0.5274111689321932,-0.012463297995519129,-0.5825613136097462,-0.5825613136097462,-0.928792275980891,-0.5690998248941014,-0.5552524142162233,-0.735377187844137,-0.5388143807816295,-0.44061219662978096,-0.5233847432942984,-0.5324977554868416,-0.5302829868886448,1.3723379596938494,1.8533739497351782,-0.40065776909850237,0.90600588643479,0.8510954881161177,-0.1778410920582152,-0.8581321101077176,-0.5907443709503578,0.1803185141910337,0.5417814637229303,0.38883845010214446,-0.03200127354869317,0.33491152761735543,0.33330409885738094,0.5145862480795085,0.3662318008997442,0.5853449129087677,0.14582121207926607,-1.6323797642786229,-0.5989594212093672
4,2018,-0.6022128531641772,0.7223944642260759,-0.03170019960464515,0.3505272934535093,0.6076479425590184,0.5611861946189974,0.6767113784729472,0.775737746330155,0.726075480720645,0.14800291807105206,-0.14487695612139237,-0.1910445150352322,-0.01627941078713239,-0.291773602286785,0.14800291807105206,-0.06766817183405632,-0.16757010274009265,-0.4422472542573835,-0.5532594951697184,-0.05122583215127422,-0.19221813619384626,-0.24889647896343847,-0.0978097735363876,-0.43053895232009515,-0.013591527910851097,0.7223944642260759,-0.31531175228463243,-0.31531175228463243,-0.5937849625596558,-0.30798079103694603,-0.12697385256854038,-0.18011064038131255,-0.11912325000025124,-0.22614716098106738,-0.23290490286279616,-0.16680372653678083,-0.21019226380474576,-0.36493624945927744,-0.5119319197099323,0.8295171480534435,1.7134925757679809,0.407975148098051,-0.27942989797373413,-0.4903314519941197,0.07206240444461898,-0.10610021185335525,0.5903424797366331,1.0339694270258404,0.7530059287772757,0.6401520001669876,-0.08241488601525528,2.242453632091844,1.6324623513113359,0.4692585081451197,0.15665704300910746,1.0769764956758339,-0.5360866456325485
5,2019,0.03739329743069629,-0.02308630090503282,0.5294164722294004,0.5927115105367208,1.069552343920196,1.5345060477493133,1.059843560015994,1.1054724838996033,1.477958077207192,0.4975688227939103,0.2810193990472845,0.17891146408147657,0.3152853507190823,0.06326912794822975,0.4975688227939103,0.45946042316536795,0.2254521842433723,0.2997021018414418,-0.06566113372114693,0.3053228125510731,0.22730900915731825,0.18120114032537551,0.09535537808004056,-0.05650439887795828,0.44433776386576,-0.02308630090503282,-0.02695018045843166,-0.02695018045843166,-0.6737256819182443,-0.0986108855916278,0.29732790200110876,0.5185334405765841,0.2754967878185419,-0.016958341034285177,-0.004992093426164445,0.5148363251734179,0.09103257940103816,-0.6277547043192397,-1.0937626452604226,1.2189925368417938,-0.2414741886227485,0.5023107989721096,-0.22890342921068274,-0.39622026408209926,0.5813599673669412,-1.0283685097162907,-0.6415738212425596,-1.1662370925261523,-0.2176668774183207,-0.07783502331453629,-0.33948492966441196,0.10141453817994299,-0.8310773398059002,0.536221489957558,-0.15096015727694603,-0.7873224153234146,-0.7785959228574207
6,2020,1.0334068719294176,0.47928101417453367,1.8205632882434102,0.6450820701995287,1.0923402307150472,0.9485772063387728,0.5891400856427428,0.5236358109095584,0.8273850626956897,0.7016610841569034,0.6227441221813363,0.5350748736963193,0.5032472545408667,0.9246288367142984,0.7016610841569034,0.9724122320012276,0.5959049405669782,0.817201457716316,0.5515082488413872,0.5774042703896045,0.6280082757864747,0.5434345344764052,0.49769248138946587,1.1515842162627365,0.4712069310905747,0.47928101417453367,0.341971789986116,0.341971789986116,-0.08369510487256725,0.2587644847940564,0.6069207026484617,1.0405287443755835,0.4081990728347515,0.2375130305136775,0.268436565409268,0.22991747749292385,0.32982621025182096,-1.1142229877286627,-1.3553634840279245,0.4184599062503385,-0.32754214914187385,0.4699715441513823,-0.11417598048948595,0.2143479036219152,0.2393671059021355,-0.6130613569519257,-0.3399843533679855,0.1775510122450389,-0.19486583834661197,-1.2968771621133814,-1.5513865640104365,-1.6855691713545702,-1.912983189841121,0.3216296949601685,-0.4236619023446217,2.238732413883462,0.21966977915819091
7,2021,1.192862130528367,0.8852821627391189,0.8938530735236773,0.18085615898033966,0.6898019044631949,0.41857058650577567,0.5631395254524992,1.0039404638009721,1.0885978235718232,0.8772055239167755,0.9155505050792477,1.0335315067847708,0.7526690449976318,0.6468307568038689,0.8772055239167755,0.9724122320012276,0.8690525874071967,1.1966620285621679,1.064264603351033,0.868405177242437,1.024550819691767,0.8777552951735911,0.7788250328435973,1.1515842162627365,0.9268492057834801,0.8852821627391189,0.9783977184029792,0.9783977184029792,0.7298338724376031,0.954564416913919,0.9070443311673617,1.0405287443755835,0.9623076195262004,0.8093364220604239,0.868577384070691,0.7223696224679191,0.8440840182126967,1.3038438543575281,-0.4234705955504147,0.8501713290331927,0.8581274656867991,0.0975314925416339,2.51203150380148,0.5441486848156285,-0.5460948490481345,0.8133038987491357,1.469552453879458,0.7099953556449451,0.21555286494414366,2.169233990014672,1.8933520208882633,0.41884350348380817,0.8775324915089815,0.19649423860024495,2.6058558284568742,-0.5767178667705549,0.8086208809900235
8,2022,1.192862130528367,0.8852821627391189,-1.6537323107620303,-1.9762895632393018,-1.7608846642521154,-1.7103492919934922,-1.8910440852461339,-1.727114778129057,-1.2301763098881537,1.085814428446056,1.3096274220218274,1.3428862502794334,1.1068967943684984,1.3852679315060514,1.085814428446056,0.9724122320012276,1.3651938884211505,1.1966620285621679,1.461380769561558,1.1240994435887968,1.2990768870295444,1.1213558577707858,1.2473039374169346,1.1515842162627365,1.0097929717202716,0.8852821627391189,1.5026197834273682,1.5026197834273682,1.7865135733038793,1.547669650963575,1.3249377777426534,1.0405287443755835,1.3619635146928617,1.3735267728739096,1.4084918748242603,1.3345176191641688,1.2671151798292912,1.2502305664369602,0.26094743922891744,0.7320279265792693,0.21795144280635817,-2.1329977085842375,0.9140841108859549,1.3614723255151784,-1.5818490370533316,-0.21493932775022367,-0.16363118994980147,0.2507973240355012,-1.2111407226856248,-1.0060348250613735,0.19081384609184832,-1.0776991284852249,-0.5441719366113749,-1.5582461380832286,-1.3194239258781788,0.21766771110426622,1.5810578380766536
9,2023,1.192862130528367,0.8852821627391189,-1.6537323107620303,-1.9762895632393018,-1.7608846642521154,-1.7103492919934922,-1.8910440852461339,-1.727114778129057,-1.2301763098881537,1.085814428446056,1.3096274220218274,1.3428862502794334,1.6053167680322218,1.3852679315060514,1.085814428446056,0.9724122320012276,1.3651938884211505,1.1966620285621679,1.461380769561558,1.470648601218375,1.2990768870295444,1.6930399708254795,1.5818294338786587,1.1515842162627365,1.5450485981913258,0.8852821627391189,1.5026197834273682,1.5026197834273682,1.7865135733038793,1.547669650963575,1.3249377777426534,1.0405287443755835,1.3619635146928617,1.7134683895352243,1.6606025204725603,1.5568239332904477,1.7164598211191182,-0.16268840279896796,-0.7435679012124121,0.5002028709379719,-0.037316995603575154,-1.7889396950258551,0.09332501143520623,2.1358264884823357,-1.1255345773026022,-2.096710357861865,-2.4817807438670796,-2.3860699004211754,-1.6932198344874643,-1.3525499527041946,-1.6204282328762099,-0.6799490687218794,-1.025018981071473,-2.3137126742065686,-1.1033092978885637,0.10312839522464089,1.8133021723502085
