序号,题目,作者,来源,发表时间,被引,下载
45,人工智能在智能制造领域的应用研究（英文）,Bo-hu LI;Bao-cun HOU;Wen-tao YU;Xiao-bing LU;Chun-wei YANG,Frontiers of Information Technology & Electronic Engineering,2017-01-03,112,4203
46,网络安全遇上人工智能:综述（英文）,Jian-hua LI,Frontiers of Information Technology & Electronic Engineering,2018-12-03,21,2118
47,人工智能与无线通信（英文）,王俊;李榕;王坚;葛屹群;张其蕃,Frontiers of Information Technology & Electronic Engineering,2020-10-03,5,762
48,人工智能赋能流程制造 OA,钱锋,Engineering,2021-09-15,3,413
49,人工智能破解生物学50年来的一个重大挑战 OA,Sean O'Neill,Engineering,2021-06-15,3,885
50,从智能科学到智能制造 OA,Lihui Wang,Engineering,2019-08-15,16,418
51,介尺度中的复杂性——人工智能发展中的共性挑战 OA,郭力;邬俊;李静海,Engineering,2019-10-15,10,382
52,一种基于人工智能的星图识别算法（英文）,王昊;王志远;王本冬;于卓群;金仲和,Frontiers of Information Technology & Electronic Engineering,2020-11-03,5,455
53,人工智能在岩土工程中的实践（英文）,Zhen-yu YIN;Yin-fu JIN;Zhong-qiang LIU,Journal of Zhejiang University-Science A(Applied Physics & Engineering),2020-06-03,5,1201
54,蒸汽裂解建模中的人工智能——详细流出物预测深度学习算法 OA,Pieter P.Plehiers;Steffen H.Symoens;Isma?l Amghizar;Guy B.Marin;Christian V.Stevens,Engineering,2019-12-15,17,105
55,人工智能发明目前无法申请专利 OA,Erika K.Carlson,Engineering,2020-11-15,5,226
56,人工智能增强型媒体——我们还能相信新闻吗? OA,Ramin Skibba,Engineering,2020-07-15,6,255
57,基于人工智能技术的儿童ADHD辅助诊断系统（英文）,张雁翼;孔鸣;赵天琦;洪文琛;谢迪,Frontiers of Information Technology & Electronic Engineering,2021-03-03,1,396
58,人工智能算法在精神疾病中的应用简述 OA,刘光迪;李雨辰;张伟;章乐,Engineering,2020-04-15,3,466
59,人工智能用于天体普查：最前沿的技术遇见最古老的科学（英文）,劳保强;安涛;汪爱玲;徐志骏;郭绍光,Science Bulletin,2021-09-27,2,183
60,人工智能的下一步突破——多学科交叉内禀 OA,庄越挺;蔡铭;李学龙;罗先刚;杨强,Engineering,2020-03-15,5,308
61,人工智能——使能技术、赋能社会 OA,吕跃广,Engineering,2020-03-15,7,293
62,流程工业制造系统智能化——人工智能与流程制造深度融合 OA,钱锋,Engineering,2019-12-15,12,605
63,人工智能技术在急性视网膜坏死诊治中的应用（英文）,Lei FENG;Daizhan ZHOU;Chenqi LUO;Junhui SHEN;Wenzhe WANG,Journal of Zhejiang University-Science B(Biomedicine & Biotechnology),2021-06-03,1,98
64,用于电网节点重要度评估的一种基于网络嵌入和支持向量回归的人工智能方法（英文）,Hui-fang WANG;Chen-yu ZHANG;Dong-yang LIN;Ben-teng HE,Frontiers of Information Technology & Electronic Engineering,2019-06-03,9,124
65,人工智能国际组稿推进石油工业大数据应用发展,,石油勘探与开发,2020-03-14,5,365
66,Ti-13Nb-13Zr合金复杂流动行为的人工智能模型及其相关应用（英文）,石泽岩;权国政;安超;邱慧敏;王卫永,Transactions of Nonferrous Metals Society of China,2019-10-15,2,131
67,人工智能国际组稿推进石油工业大数据应用发展,,石油勘探与开发,2020-06-09,2,353
70,基于人工智能的薄壁浅地基的承重能力研究(英文),Hossein REZAEI;Ramli NAZIR;Ehsan MOMENI,Journal of Zhejiang University-Science A(Applied Physics & Engineering),2016-04-03,4,119
72,数学推理挑战人工智能 OA,Sean O'Neill,Engineering,2019-10-15,,104
75,人工智能在药学领域中的应用（英文） OA,Mingkun Lu;Jiayi Yin;Qi Zhu;Gaole Lin;Minjie Mou,Engineering,2023-08-15,,78
77,中国制氢技术的发展现状,曹军文;张文强;李一枫;赵晨欢;郑云,化学进展,2021-12-24,95,6972
78,叠层相干衍射成像算法发展综述,潘新宇;毕筱雪;董政;耿直;徐晗,物理学报,2023-01-05 11:38,5,430
79,智能导向钻井一体化软件系统平台研发,付长民;王啸天;底青云,地球物理学报,2023-01-10,1,501
80,面向新一代智能制造的人-信息-物理系统（HCPS) OA,周济;周艳红;王柏村;臧冀原,Engineering,2019-08-15,178,2817
81,走向智能机床 OA,陈吉红;胡鹏程;周会成;杨建中;谢杰君,Engineering,2019-08-15,35,2279
82,智能多媒体内容设计在阿里巴巴的应用（英文）,Kui-long LIU;Wei LI;Chang-yuan YANG;Guang YANG,Frontiers of Information Technology & Electronic Engineering,2019-12-03,9,164
83,网络安全的新领域 OA,方滨兴;任奎;贾焰,Engineering,2018-02-15,10,719
84,信息科学应引领未来的生物医学研究 OA,Kenta Nakai,Engineering,2019-12-15,4,154
85,自然启发算法库构建设想及其在新材料研发中的意义,都时禹;张一鸣;罗侃;黄庆,无机材料学报,2019-01-16 13:58,1,327
86,走向舞台中央的变革性技术——2019年全球重大挑战峰会首日纪实 OA,Sean O'Neill,Engineering,2020-03-15,1,20
