year,中国:有效量:发明专利:国内
2013,
2014,0.20835201784164514
2015,0.3006490849313521
2016,0.25651663073890396
2017,0.2207799496288647
2018,0.17565320589485478
2019,0.15873062663142967
2020,0.18327032244063468
2021,0.2168219968821341
2022,0.20847680027346605
