year,人均专利保有量（件/人）
2013,0.00042895499027251584
2014,0.0005148642169042326
2015,0.0006663656868556888
2016,0.0008318511549069179
2017,0.0010098570826577913
2018,0.0011827644601931108
2019,0.0013659664699875184
2020,0.001613972608560179
2021,0.0019632500353957243
2022,0.002373970603860457
