year,f
2013,0.0
2014,0.0586629710405111
2015,0.15300134266656118
2016,0.29514385734813287
2017,0.41064976721947727
2018,0.5452467438574063
2019,0.6643281981950064
2020,0.8041169519591473
2021,0.9383901576664107
2022,1.0
